	B6_rep1	B6_rep2	B6_rep3	D2_rep1	D2_rep2	D2_rep3
Cers6	1605	1632	1194	956	1060	1224
Ces1a	0	0	0	100	139	130
Ces1b	2	1	0	0	0	0
Ces1c	1	0	0	0	0	0
Ces1d	42	38	31	13	7	10
Ces1e	2	0	1	1	0	1
Ces1f	0	0	0	0	0	0
Ces1g	0	0	0	0	0	0
Ces1h	0	0	0	0	0	0
Ces2a	0	0	0	0	0	0
Ces2b	4	2	1	2	2	1
Ces2c	0	0	0	0	0	0
Ces2d-ps-001	0	0	0	0	0	0
Ces2e	0	0	1	0	0	0
Ces2f	0	0	7	1	3	3
Ces2g	1	2	7	0	2	2
Ces2h	0	0	0	0	0	0
Ces2h-001	0	0	0	0	0	0
Ces3a	0	0	0	0	0	0
Ces3b	0	0	0	0	0	0
Ces4a	0	0	1	0	1	0
Ces5a	7	9	7	8	9	10
Cetn1	0	0	0	0	0	0
Cetn2	1890	1877	1325	1252	1417	1546
Cetn3	2402	2296	1646	1714	2013	2072
Cetn4	394	382	271	174	216	218
Cfap100	89	81	54	60	53	85
Cfap126	42	41	28	16	19	21
Cfap157	105	113	105	78	97	83
Cfap161	5	3	2	2	4	2
Cfap20	1533	1548	1162	1104	1180	1335
Cfap206	234	249	187	432	519	523
Cfap221	3	7	9	4	3	4
Cfap36	4021	3947	2869	3145	3559	3961
Cfap43	32	30	22	22	41	26
Cfap44	22	31	21	29	27	33
Cfap45	9	9	8	11	9	17
Cfap46	83	105	70	138	175	165
Cfap52	5	2	3	0	4	1
Cfap53	138	141	79	35	41	45
Cfap54	415	418	289	1062	1202	1267
Cfap57	47	48	40	20	33	31
Cfap58	25	34	25	99	92	113
Cfap61	1269	1242	988	792	924	967
Cfap69	1002	1091	764	595	742	767
Cfap70	258	238	170	74	115	112
Cfap73	8	8	5	6	9	6
Cfap74	360	365	300	287	363	341
Cfap77	2	2	2	3	4	2
Cfap97	3755	3535	2665	2355	2812	2953
Cfap99	65	66	62	67	78	81
Cfb	315	305	219	203	235	237
Cfc1	0	0	0	0	0	1
Cfd	4	6	5	2	3	7
Cfdp1	4304	3978	2829	2670	3080	3407
Cfh	686	786	633	425	642	505
Cfhr1	0	0	0	0	0	0
Cfhr2	4	7	6	6	2	6
Cfhr3-001	0	0	0	0	0	0
Cfi	110	89	65	7	18	11
Cfl1	9594	8743	6275	6393	6856	7620
Cfl2	3516	3113	2109	1939	2190	2389
Cflar	2428	2421	1805	1931	2067	2223
Cfp	265	281	206	209	236	236
Cftr	69	68	49	10	22	19
Cga	0	0	0	0	0	0
Cggbp1	5152	4860	3520	3194	3323	3807
Cgn	905	831	603	531	584	539
Cgnl1	786	782	526	352	374	394
Cgref1	307	262	191	193	216	277
Cgrrf1	876	818	584	560	689	742
Ch25h	24	8	11	0	2	1
Chac1	156	137	127	28	48	46
Chac2	704	580	438	436	450	557
Chad	1	5	5	11	2	5
Chadl	351	316	260	278	282	328
Chaf1a	408	427	298	275	317	352
Chaf1b	10	13	7	9	9	13
Champ1	2077	1923	1506	1407	1611	1740
Chat	540	407	362	334	379	364
Chchd1	906	902	641	669	721	841
Chchd10	1939	1857	1298	1314	1356	1478
Chchd2	6777	6295	4848	4780	5161	5598
Chchd3	3345	3250	2550	2559	2611	2911
Chchd4	1162	1082	829	806	816	888
Chchd5	703	575	446	275	312	328
Chchd6	812	725	563	512	545	622
Chchd7	1670	1648	1191	1226	1287	1362
Chd1	5924	5739	4349	4080	4561	4877
Chd1l	1228	1119	797	902	1014	1003
Chd2	7853	7193	5680	5092	6003	6328
Chd3	5350	5188	3862	4188	4658	4935
